,id_venta,fecha,sucursal,vendedor,categoria,unidades,precio_unit,edad_cliente,estatus
67,68,2024-05-15,Sur,Marta,C,16,178.27,67,2
68,69,2024-01-28,Sur,Ana,C,9,176.51,27,2
69,70,2024-06-20,Sur,Pedro,A,1,165.4,18,2
70,71,2024-10-17,Norte,Marta,C,9,172.26,24,3
71,72,2024-03-10,Norte,Pedro,B,4,161.86,46,1
72,73,2024-06-17,Norte,Luis,B,3,231.4,33,3
73,74,2024-02-17,Centro,Luis,A,3,146.52,45,3
74,75,2024-09-07,Sur,Marta,B,14,137.72,19,2
75,76,2024-06-22,Sur,Pedro,C,10,119.86,36,2
76,77,2024-04-30,Sur,Pedro,B,11,108.71,41,1
77,78,2024-03-23,Centro,Ana,A,15,100.22,42,3
78,79,2024-07-25,Norte,Marta,B,11,114.45,49,2
79,80,2024-09-01,Norte,Ana,C,12,147.17,62,1
80,81,2024-12-09,Norte,Luis,C,2,163.37,44,2
81,82,2024-06-08,Sur,Pedro,A,17,152.05,65,3
82,83,2024-02-28,Centro,Luis,C,9,119.38,48,1
83,84,2024-10-30,Sur,Pedro,C,3,186.01,32,1
84,85,2024-08-17,Sur,Luis,A,16,179.58,31,3
85,86,2024-09-12,Centro,Ana,C,14,143.61,36,1
86,87,2024-02-05,Norte,Luis,B,2,123.88,52,3
87,88,2024-04-24,Sur,Marta,B,4,171.94,31,3
88,89,2024-10-07,Sur,Pedro,B,1,157.52,70,3
89,90,2024-10-30,Sur,Marta,C,6,92.07,45,3
90,91,2024-06-07,Centro,Pedro,C,2,147.28,67,1
91,92,2024-10-20,Norte,Pedro,C,14,160.48,56,1
92,93,2024-11-03,Centro,Pedro,C,10,114.01,37,2
93,94,2024-05-21,Norte,Marta,C,19,157.59,31,2
94,95,2024-11-23,Sur,Luis,A,15,91.81,60,3
95,96,2024-04-15,Sur,Luis,A,12,203.45,36,3
96,97,2024-03-28,Centro,Ana,C,10,199.92,32,2
97,98,2024-09-06,Sur,Luis,B,2,139.9,71,3
98,99,2024-08-20,Norte,Pedro,A,2,164.54,45,2
99,100,2024-02-21,Norte,Luis,A,12,53.6,20,2
100,101,2024-10-30,Sur,Ana,B,1,103.75,46,2
101,102,2024-03-13,Centro,Marta,B,1,138.25,44,2
102,103,2024-10-20,Norte,Pedro,A,5,107.11,67,1
103,104,2024-01-03,Centro,Pedro,A,17,178.58,58,3
104,105,2024-10-17,Sur,Luis,A,9,229.89,28,2
105,106,2024-10-14,Norte,Luis,B,14,102.94,26,3
106,107,2024-10-11,Norte,Marta,A,8,116.5,52,2
107,108,2024-08-30,Sur,Ana,B,4,159.42,20,3
108,109,2024-06-21,Norte,Luis,B,8,214.44,36,3
109,110,2024-09-14,Norte,Ana,B,2,101.11,25,2
110,111,2024-04-11,Sur,Pedro,C,15,159.96,19,2
111,112,2024-10-11,Centro,Marta,B,4,222.85,70,1
112,113,2024-07-21,Norte,Pedro,C,8,83.93,23,3
113,114,2024-06-16,Norte,Pedro,C,19,98.76,18,3
114,115,2024-07-03,Norte,Pedro,C,12,133.06,71,3
115,116,2024-07-26,Sur,Ana,C,9,129.18,28,3
116,117,2024-01-14,Centro,Pedro,B,11,182.5,64,3
117,118,2024-02-21,Centro,Ana,B,15,159.67,19,3
118,119,2024-03-30,Centro,Luis,A,5,79.0,26,2
119,120,2024-02-11,Centro,Marta,B,13,170.62,24,1
120,121,2024-06-09,Norte,Luis,A,17,126.9,58,1
121,122,2024-08-31,Norte,Ana,C,11,200.98,53,1
122,123,2024-08-26,Sur,Ana,C,9,124.9,45,2
123,124,2024-06-20,Centro,Pedro,A,3,124.54,31,3
124,125,2024-11-08,Centro,Luis,C,5,171.65,23,2
125,126,2024-07-25,Norte,Luis,A,18,180.52,50,1
126,127,2024-01-29,Norte,Pedro,C,11,167.92,31,1
127,128,2024-10-06,Norte,Ana,A,6,82.58,51,3
128,129,2024-07-28,Norte,Pedro,B,8,171.52,57,3
129,130,2024-08-19,Sur,Pedro,B,11,108.63,66,2
130,131,2024-07-25,Sur,Marta,C,11,159.41,46,3
131,132,2024-07-21,Sur,Ana,B,14,93.05,18,3
132,133,2024-02-03,Norte,Ana,C,5,167.85,33,3
133,134,2024-07-23,Centro,Luis,C,13,117.74,66,3
134,135,2024-10-17,Sur,Marta,A,9,98.69,48,2
135,136,2024-04-20,Centro,Ana,C,18,178.55,53,2
136,137,2024-08-08,Centro,Luis,C,4,159.67,44,2
137,138,2024-01-12,Norte,Ana,B,3,125.44,27,1
138,139,2024-05-06,Norte,Marta,C,9,208.05,69,2
139,140,2024-06-08,Centro,Ana,C,10,132.37,62,2
140,141,2024-12-24,Sur,Marta,C,14,151.28,74,2
141,142,2024-03-19,Norte,Ana,C,8,160.76,66,2
142,143,2024-04-10,Sur,Ana,B,18,125.21,34,2
143,144,2024-05-29,Sur,Ana,A,10,168.85,32,2
144,145,2024-12-28,Centro,Pedro,C,3,128.66,32,1
145,146,2024-11-07,Norte,Ana,B,3,133.53,70,2
146,147,2024-01-13,Centro,Luis,B,19,204.51,49,2
147,148,2024-03-26,Centro,Marta,A,3,108.38,43,3
148,149,2024-10-26,Norte,Marta,A,19,53.49,73,2
149,150,2024-01-22,Norte,Marta,A,6,214.44,52,2
150,151,2024-11-08,Sur,Pedro,C,2,251.97,69,1
151,152,2024-04-12,Norte,Luis,A,6,133.79,74,1
152,153,2024-11-30,Norte,Pedro,A,12,72.53,22,2
153,154,2024-04-17,Sur,Luis,C,9,137.58,38,2
154,155,2024-06-07,Centro,Pedro,B,15,138.55,59,2
155,156,2024-08-29,Centro,Marta,B,12,142.4,64,2
156,157,2024-02-16,Norte,Marta,C,8,105.46,26,3
157,158,2024-07-22,Centro,Pedro,B,13,173.18,36,1
158,159,2024-07-03,Norte,Pedro,A,19,170.98,49,1
159,160,2024-10-13,Centro,Pedro,C,8,90.22,63,1
160,161,2024-12-29,Centro,Marta,A,3,177.97,24,1
161,162,2024-08-30,Centro,Ana,B,8,232.11,52,3
162,163,2024-05-29,Norte,Luis,C,16,156.88,34,1
163,164,2024-05-28,Centro,Ana,C,5,136.51,30,2
164,165,2024-06-01,Norte,Pedro,B,19,144.32,47,1
165,166,2024-10-24,Sur,Ana,C,12,174.61,41,3
166,167,2024-04-27,Sur,Ana,B,12,80.77,54,3
167,168,2024-03-01,Norte,Ana,B,7,156.58,36,1
168,169,2024-05-02,Norte,Marta,A,18,134.38,64,1
169,170,2024-01-09,Centro,Marta,B,1,223.91,22,1
170,171,2024-02-08,Sur,Pedro,B,6,143.03,67,2
171,172,2024-02-02,Sur,Luis,C,8,216.72,19,3
172,173,2024-10-08,Sur,Luis,A,10,105.85,59,2
173,174,2024-09-20,Sur,Ana,C,10,173.49,37,3
174,175,2024-09-11,Centro,Ana,C,3,162.78,39,2
175,176,2024-06-17,Norte,Luis,C,5,115.24,19,1
176,177,2024-09-18,Centro,Pedro,B,2,157.1,58,2
177,178,2024-02-28,Centro,Marta,A,11,198.5,27,1
178,179,2024-11-24,Sur,Pedro,A,7,137.05,55,3
179,180,2024-07-01,Norte,Ana,C,11,82.32,59,1
180,181,2024-12-08,Norte,Ana,C,12,149.3,66,2
181,182,2024-02-25,Centro,Pedro,B,14,113.9,58,2
182,183,2024-06-30,Centro,Ana,A,11,136.31,35,1
183,184,2024-09-11,Norte,Ana,A,13,146.74,60,2
184,185,2024-06-29,Norte,Luis,B,12,81.77,65,2
185,186,2024-06-11,Norte,Pedro,B,13,85.37,36,1
186,187,2024-03-01,Norte,Marta,A,12,169.28,25,1
187,188,2024-05-19,Centro,Ana,C,7,129.09,68,1
188,189,2024-03-28,Centro,Pedro,B,5,47.41,26,1
189,190,2024-04-20,Norte,Pedro,A,15,181.39,51,2
190,191,2024-09-06,Centro,Pedro,A,7,160.89,31,1
191,192,2024-08-18,Norte,Pedro,B,11,121.45,25,3
192,193,2024-08-09,Sur,Ana,C,4,97.33,62,1
193,194,2024-05-12,Sur,Pedro,C,9,183.43,26,2
194,195,2024-12-16,Centro,Luis,B,11,163.97,56,3
195,196,2024-02-01,Centro,Pedro,A,12,245.3,57,2
196,197,2024-05-05,Norte,Marta,C,11,166.81,21,3
197,198,2024-02-13,Norte,Pedro,B,7,165.51,27,1
198,199,2024-05-03,Norte,Marta,A,19,143.32,63,1
199,200,2024-12-17,Norte,Marta,B,10,182.67,46,1
